"ámbitos territoriales","grandes grupos de edad cumplida","sexo","2025/01/01"
"Abaltzisketa","Total","Total",313
"Abaltzisketa","0 - 19","Total",51
"Abaltzisketa","20 - 64","Total",199
"Abaltzisketa",">= 65","Total",63
"Aduna","Total","Total",507
"Aduna","0 - 19","Total",125
"Aduna","20 - 64","Total",307
"Aduna",">= 65","Total",75
"Aia","Total","Total",2127
"Aia","0 - 19","Total",502
"Aia","20 - 64","Total",1230
"Aia",">= 65","Total",395
"Aizarnazabal","Total","Total",808
"Aizarnazabal","0 - 19","Total",182
"Aizarnazabal","20 - 64","Total",472
"Aizarnazabal",">= 65","Total",154
"Albiztur","Total","Total",314
"Albiztur","0 - 19","Total",73
"Albiztur","20 - 64","Total",183
"Albiztur",">= 65","Total",58
"Alegia","Total","Total",1852
"Alegia","0 - 19","Total",370
"Alegia","20 - 64","Total",1104
"Alegia",">= 65","Total",378
"Alkiza","Total","Total",346
"Alkiza","0 - 19","Total",95
"Alkiza","20 - 64","Total",192
"Alkiza",">= 65","Total",59
"Altzaga","Total","Total",159
"Altzaga","0 - 19","Total",37
"Altzaga","20 - 64","Total",89
"Altzaga",">= 65","Total",33
"Altzo","Total","Total",400
"Altzo","0 - 19","Total",78
"Altzo","20 - 64","Total",241
"Altzo",">= 65","Total",81
"Amezketa","Total","Total",935
"Amezketa","0 - 19","Total",180
"Amezketa","20 - 64","Total",545
"Amezketa",">= 65","Total",210
"Andoain","Total","Total",14732
"Andoain","0 - 19","Total",2708
"Andoain","20 - 64","Total",8401
"Andoain",">= 65","Total",3623
"Anoeta","Total","Total",2163
"Anoeta","0 - 19","Total",461
"Anoeta","20 - 64","Total",1251
"Anoeta",">= 65","Total",451
"Antzuola","Total","Total",2123
"Antzuola","0 - 19","Total",443
"Antzuola","20 - 64","Total",1201
"Antzuola",">= 65","Total",479
"Arama","Total","Total",181
"Arama","0 - 19","Total",37
"Arama","20 - 64","Total",104
"Arama",">= 65","Total",40
"Aretxabaleta","Total","Total",7183
"Aretxabaleta","0 - 19","Total",1397
"Aretxabaleta","20 - 64","Total",4109
"Aretxabaleta",">= 65","Total",1677
"Arrasate/Mondragón","Total","Total",22251
"Arrasate/Mondragón","0 - 19","Total",3855
"Arrasate/Mondragón","20 - 64","Total",12493
"Arrasate/Mondragón",">= 65","Total",5903
"Asteasu","Total","Total",1527
"Asteasu","0 - 19","Total",303
"Asteasu","20 - 64","Total",951
"Asteasu",">= 65","Total",273
"Astigarraga","Total","Total",7665
"Astigarraga","0 - 19","Total",1878
"Astigarraga","20 - 64","Total",4749
"Astigarraga",">= 65","Total",1038
"Ataun","Total","Total",1723
"Ataun","0 - 19","Total",410
"Ataun","20 - 64","Total",926
"Ataun",">= 65","Total",387
"Azkoitia","Total","Total",12084
"Azkoitia","0 - 19","Total",2540
"Azkoitia","20 - 64","Total",7024
"Azkoitia",">= 65","Total",2520
"Azpeitia","Total","Total",15431
"Azpeitia","0 - 19","Total",3160
"Azpeitia","20 - 64","Total",8787
"Azpeitia",">= 65","Total",3484
"Baliarrain","Total","Total",159
"Baliarrain","0 - 19","Total",51
"Baliarrain","20 - 64","Total",92
"Baliarrain",">= 65","Total",16
"Beasain","Total","Total",13915
"Beasain","0 - 19","Total",2838
"Beasain","20 - 64","Total",7948
"Beasain",">= 65","Total",3129
"Beizama","Total","Total",101
"Beizama","0 - 19","Total",13
"Beizama","20 - 64","Total",62
"Beizama",">= 65","Total",26
"Belauntza","Total","Total",314
"Belauntza","0 - 19","Total",66
"Belauntza","20 - 64","Total",173
"Belauntza",">= 65","Total",75
"Berastegi","Total","Total",1088
"Berastegi","0 - 19","Total",212
"Berastegi","20 - 64","Total",618
"Berastegi",">= 65","Total",258
"Bergara","Total","Total",14725
"Bergara","0 - 19","Total",2511
"Bergara","20 - 64","Total",8479
"Bergara",">= 65","Total",3735
"Berrobi","Total","Total",588
"Berrobi","0 - 19","Total",122
"Berrobi","20 - 64","Total",351
"Berrobi",">= 65","Total",115
"Bidania-Goiatz","Total","Total",528
"Bidania-Goiatz","0 - 19","Total",108
"Bidania-Goiatz","20 - 64","Total",317
"Bidania-Goiatz",">= 65","Total",103
"Deba","Total","Total",5364
"Deba","0 - 19","Total",874
"Deba","20 - 64","Total",3017
"Deba",">= 65","Total",1473
"Donostia / San Sebastián","Total","Total",183388
"Donostia / San Sebastián","0 - 19","Total",29172
"Donostia / San Sebastián","20 - 64","Total",105384
"Donostia / San Sebastián",">= 65","Total",48832
"Eibar","Total","Total",27118
"Eibar","0 - 19","Total",4948
"Eibar","20 - 64","Total",15069
"Eibar",">= 65","Total",7101
"Elduain","Total","Total",239
"Elduain","0 - 19","Total",55
"Elduain","20 - 64","Total",148
"Elduain",">= 65","Total",36
"Elgeta","Total","Total",1109
"Elgeta","0 - 19","Total",239
"Elgeta","20 - 64","Total",643
"Elgeta",">= 65","Total",227
"Elgoibar","Total","Total",11659
"Elgoibar","0 - 19","Total",2298
"Elgoibar","20 - 64","Total",6567
"Elgoibar",">= 65","Total",2794
"Errenteria","Total","Total",39779
"Errenteria","0 - 19","Total",6627
"Errenteria","20 - 64","Total",23485
"Errenteria",">= 65","Total",9667
"Errezil","Total","Total",602
"Errezil","0 - 19","Total",124
"Errezil","20 - 64","Total",359
"Errezil",">= 65","Total",119
"Eskoriatza","Total","Total",4227
"Eskoriatza","0 - 19","Total",758
"Eskoriatza","20 - 64","Total",2508
"Eskoriatza",">= 65","Total",961
"Ezkio-Itsaso","Total","Total",632
"Ezkio-Itsaso","0 - 19","Total",110
