"ámbitos territoriales","año de nacimiento","sexo","2025/01/01"
"Abaltzisketa","1949","Total",2
"Abaltzisketa","1948","Total",3
"Abaltzisketa","1947","Total",2
"Abaltzisketa","1946","Total",3
"Abaltzisketa","1945","Total",4
"Abaltzisketa","1944","Total",1
"Abaltzisketa","1943","Total",2
"Abaltzisketa","1942","Total",1
"Abaltzisketa","1941","Total",0
"Abaltzisketa","1940","Total",2
"Abaltzisketa","1939","Total",3
"Abaltzisketa","1938","Total",0
"Abaltzisketa","1937","Total",1
"Abaltzisketa","1936","Total",0
"Abaltzisketa","1935","Total",1
"Abaltzisketa","1934","Total",1
"Abaltzisketa","1933","Total",1
"Abaltzisketa","1932","Total",0
"Abaltzisketa","1931","Total",0
"Abaltzisketa","1930","Total",1
"Abaltzisketa","1929","Total",0
"Abaltzisketa","1928","Total",0
"Abaltzisketa","1927","Total",1
"Abaltzisketa","1926","Total",0
"Abaltzisketa","1925","Total",0
"Abaltzisketa","1924","Total",0
"Abaltzisketa","1923","Total",0
"Abaltzisketa","1922","Total",0
"Abaltzisketa","1921","Total",0
"Abaltzisketa","1920","Total",0
"Abaltzisketa","1919","Total",0
"Abaltzisketa","1918","Total",0
"Abaltzisketa","1917","Total",0
"Abaltzisketa","1916","Total",0
"Abaltzisketa","1915","Total",0
"Abaltzisketa","1914","Total",0
"Abaltzisketa","1913","Total",0
"Abaltzisketa","1912","Total",0
"Abaltzisketa","1911","Total",0
"Abaltzisketa","1910","Total",0
"Abaltzisketa","1909","Total",0
"Abaltzisketa","1908","Total",0
"Abaltzisketa","1907","Total",0
"Abaltzisketa","1906","Total",0
"Abaltzisketa","1905","Total",0
"Abaltzisketa","1904","Total",0
"Abaltzisketa","1903","Total",0
"Abaltzisketa","1902","Total",0
"Abaltzisketa","1901","Total",0
"Abaltzisketa","1900","Total",0
"Abaltzisketa","1899","Total",0
"Abaltzisketa","1898","Total",0
"Abaltzisketa","1897","Total",0
"Abaltzisketa","1896","Total",0
"Abaltzisketa","<= 1895","Total",0
"Aduna","1949","Total",2
"Aduna","1948","Total",2
"Aduna","1947","Total",2
"Aduna","1946","Total",5
"Aduna","1945","Total",2
"Aduna","1944","Total",1
"Aduna","1943","Total",2
"Aduna","1942","Total",1
"Aduna","1941","Total",1
"Aduna","1940","Total",3
"Aduna","1939","Total",1
"Aduna","1938","Total",1
"Aduna","1937","Total",3
"Aduna","1936","Total",4
"Aduna","1935","Total",2
"Aduna","1934","Total",0
"Aduna","1933","Total",2
"Aduna","1932","Total",1
"Aduna","1931","Total",0
"Aduna","1930","Total",0
"Aduna","1929","Total",0
"Aduna","1928","Total",0
"Aduna","1927","Total",0
"Aduna","1926","Total",1
"Aduna","1925","Total",0
"Aduna","1924","Total",0
"Aduna","1923","Total",0
"Aduna","1922","Total",0
"Aduna","1921","Total",0
"Aduna","1920","Total",0
"Aduna","1919","Total",0
"Aduna","1918","Total",0
"Aduna","1917","Total",0
"Aduna","1916","Total",0
"Aduna","1915","Total",0
"Aduna","1914","Total",0
"Aduna","1913","Total",0
"Aduna","1912","Total",0
"Aduna","1911","Total",0
"Aduna","1910","Total",0
"Aduna","1909","Total",0
"Aduna","1908","Total",0
"Aduna","1907","Total",0
"Aduna","1906","Total",0
"Aduna","1905","Total",0
"Aduna","1904","Total",0
"Aduna","1903","Total",0
"Aduna","1902","Total",0
"Aduna","1901","Total",0
"Aduna","1900","Total",0
"Aduna","1899","Total",0
"Aduna","1898","Total",0
"Aduna","1897","Total",0
"Aduna","1896","Total",0
"Aduna","<= 1895","Total",0
"Aia","1949","Total",21
"Aia","1948","Total",25
"Aia","1947","Total",16
"Aia","1946","Total",13
"Aia","1945","Total",15
"Aia","1944","Total",11
"Aia","1943","Total",9
"Aia","1942","Total",1
"Aia","1941","Total",10
"Aia","1940","Total",10
"Aia","1939","Total",10
"Aia","1938","Total",9
"Aia","1937","Total",3
"Aia","1936","Total",5
"Aia","1935","Total",4
"Aia","1934","Total",3
"Aia","1933","Total",4
"Aia","1932","Total",5
"Aia","1931","Total",2
"Aia","1930","Total",2
"Aia","1929","Total",2
"Aia","1928","Total",2
"Aia","1927","Total",1
"Aia","1926","Total",0
"Aia","1925","Total",0
"Aia","1924","Total",0
"Aia","1923","Total",0
"Aia","1922","Total",0
"Aia","1921","Total",0
"Aia","1920","Total",0
"Aia","1919","Total",0
"Aia","1918","Total",0
"Aia","1917","Total",0
"Aia","1916","Total",0
"Aia","1915","Total",0
"Aia","1914","Total",0
"Aia","1913","Total",0
"Aia","1912","Total",0
"Aia","1911","Total",0
"Aia","1910","Total",0
"Aia","1909","Total",0
"Aia","1908","Total",0
"Aia","1907","Total",0
"Aia","1906","Total",0
"Aia","1905","Total",0
"Aia","1904","Total",0
"Aia","1903","Total",0
"Aia","1902","Total",0
"Aia","1901","Total",0
"Aia","1900","Total",0
"Aia","1899","Total",0
"Aia","1898","Total",0
"Aia","1897","Total",0
"Aia","1896","Total",0
"Aia","<= 1895","Total",0
"Aizarnazabal","1949","Total",9
"Aizarnazabal","1948","Total",5
"Aizarnazabal","1947","Total",4
"Aizarnazabal","1946","Total",4
"Aizarnazabal","1945","Total",3
"Aizarnazabal","1944","Total",5
"Aizarnazabal","1943","Total",1
"Aizarnazabal","1942","Total",2
"Aizarnazabal","1941","Total",5
"Aizarnazabal","1940","Total",0
"Aizarnazabal","1939","Total",0
"Aizarnazabal","1938","Total",2
"Aizarnazabal","1937","Total",3
"Aizarnazabal","1936","Total",1
"Aizarnazabal","1935","Total",1
"Aizarnazabal","1934","Total",0
"Aizarnazabal","1933","Total",0
"Aizarnazabal","1932","Total",2
"Aizarnazabal","1931","Total",1
"Aizarnazabal","1930","Total",2
"Aizarnazabal","1929","Total",0
"Aizarnazabal","1928","Total",0
"Aizarnazabal","1927","Total",0
"Aizarnazabal","1926","Total",0
"Aizarnazabal","1925","Total",0
"Aizarnazabal","1924","Total",0
"Aizarnazabal","1923","Total",0
"Aizarnazabal","1922","Total",0
"Aizarnazabal","1921","Total",0
"Aizarnazabal","1920","Total",0
"Aizarnazabal","1919","Total",0
"Aizarnazabal","1918","Total",0
"Aizarnazabal","1917","Total",0
"Aizarnazabal","1916","Total",0
"Aizarnazabal","1915","Total",0
"Aizarnazabal","1914","Total",0
"Aizarnazabal","1913","Total",0
"Aizarnazabal","1912","Total",0
"Aizarnazabal","1911","Total",0
"Aizarnazabal","1910","Total",0
"Aizarnazabal","1909","Total",0
"Aizarnazabal","1908","Total",0
"Aizarnazabal","1907","Total",0
"Aizarnazabal","1906","Total",0
"Aizarnazabal","1905","Total",0
"Aizarnazabal","1904","Total",0
