municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id
20001,Abaltzisketa,313,63,29,20.128,9.265,2025-01-01,EUSTAT_EMH_2025
20002,Aduna,507,75,36,14.793,7.101,2025-01-01,EUSTAT_EMH_2025
20003,Aizarnazabal,808,154,50,19.059,6.188,2025-01-01,EUSTAT_EMH_2025
20004,Albiztur,314,58,34,18.471,10.828,2025-01-01,EUSTAT_EMH_2025
20005,Alegia,1852,378,198,20.41,10.691,2025-01-01,EUSTAT_EMH_2025
20006,Alkiza,346,59,28,17.052,8.092,2025-01-01,EUSTAT_EMH_2025
20007,Altzo,400,81,34,20.25,8.5,2025-01-01,EUSTAT_EMH_2025
20008,Amezketa,935,210,101,22.46,10.802,2025-01-01,EUSTAT_EMH_2025
20009,Andoain,14732,3623,1929,24.593,13.094,2025-01-01,EUSTAT_EMH_2025
20010,Anoeta,2163,451,175,20.851,8.091,2025-01-01,EUSTAT_EMH_2025
20011,Antzuola,2123,479,250,22.562,11.776,2025-01-01,EUSTAT_EMH_2025
20012,Arama,181,40,27,22.099,14.917,2025-01-01,EUSTAT_EMH_2025
20013,Aretxabaleta,7183,1677,908,23.347,12.641,2025-01-01,EUSTAT_EMH_2025
20014,Asteasu,1527,273,138,17.878,9.037,2025-01-01,EUSTAT_EMH_2025
20015,Ataun,1723,387,203,22.461,11.782,2025-01-01,EUSTAT_EMH_2025
20016,Aia,2127,395,183,18.571,8.604,2025-01-01,EUSTAT_EMH_2025
20017,Azkoitia,12084,2520,1253,20.854,10.369,2025-01-01,EUSTAT_EMH_2025
20018,Azpeitia,15431,3484,1780,22.578,11.535,2025-01-01,EUSTAT_EMH_2025
20019,Beasain,13915,3129,1541,22.487,11.074,2025-01-01,EUSTAT_EMH_2025
20020,Beizama,101,26,14,25.743,13.861,2025-01-01,EUSTAT_EMH_2025
20021,Belauntza,314,75,33,23.885,10.51,2025-01-01,EUSTAT_EMH_2025
20022,Berastegi,1088,258,92,23.713,8.456,2025-01-01,EUSTAT_EMH_2025
20023,Berrobi,588,115,61,19.558,10.374,2025-01-01,EUSTAT_EMH_2025
20024,Bidania-Goiatz,528,103,45,19.508,8.523,2025-01-01,EUSTAT_EMH_2025
20025,Zegama,1560,339,156,21.731,10.0,2025-01-01,EUSTAT_EMH_2025
20026,Zerain,290,81,41,27.931,14.138,2025-01-01,EUSTAT_EMH_2025
20027,Zestoa,3908,762,387,19.498,9.903,2025-01-01,EUSTAT_EMH_2025
20028,Zizurkil,2904,639,339,22.004,11.674,2025-01-01,EUSTAT_EMH_2025
