municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,services_total,primary_care_per_10000_65_plus,primary_care_per_10000_75_plus,hospital_per_10000_65_plus,hospital_per_10000_75_plus,mental_health_per_10000_65_plus,mental_health_per_10000_75_plus,other_health_per_10000_65_plus,other_health_per_10000_75_plus,representative_point_longitude,representative_point_latitude,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,distance_to_nearest_mental_health_m,distance_to_nearest_other_health_m,metrics_reference_period,source_ids
20001,Abaltzisketa,313,63,29,20.128,9.265,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.499872660531404,0,0,0,1,1,158.73,344.828,0.0,0.0,0.0,0.0,0.0,0.0,-2.1047532,43.0352835,1394.2,17769.5,7179.5,26433.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20002,Aduna,507,75,36,14.793,7.101,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,7.035348563085305,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0593393,43.2134915,2756.2,11485.3,3137.2,6661.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20003,Aizarnazabal,808,154,50,19.059,6.188,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,6.540372163090826,0,0,0,1,1,64.935,200.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2328333,43.2643676,1146.7,12436.4,4853.6,17652.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20004,Albiztur,314,58,34,18.471,10.828,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,12.71288207883457,0,0,0,1,1,172.414,294.118,0.0,0.0,0.0,0.0,0.0,0.0,-2.1313137,43.1357269,809.9,15840.1,4254.1,17091.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20005,Alegia,1852,378,198,20.41,10.691,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,7.754163198062981,0,0,0,1,1,26.455,50.505,0.0,0.0,0.0,0.0,0.0,0.0,-2.1011751,43.0977497,386.1,17282.3,4638.3,19749.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20006,Alkiza,346,59,28,17.052,8.092,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,12.01428122947962,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1162597,43.1718197,2855.9,18011.2,4979.4,13124.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20007,Altzo,400,81,34,20.25,8.5,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,9.777626174479805,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0692585,43.0938644,2477.2,19842.9,4771.5,19409.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20008,Amezketa,935,210,101,22.46,10.802,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,20.588517985872098,0,0,0,1,1,47.619,99.01,0.0,0.0,0.0,0.0,0.0,0.0,-2.0690373,43.0519861,1570.5,20150.0,9391.1,23960.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20009,Andoain,14732,3623,1929,24.593,13.094,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,27.18634392077157,0,1,0,1,2,2.76,5.184,0.0,0.0,2.76,5.184,0.0,0.0,-2.0138364,43.2162864,873.2,9264.4,873.2,5313.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20010,Anoeta,2163,451,175,20.851,8.091,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,4.102431856462305,0,0,0,1,1,22.173,57.143,0.0,0.0,0.0,0.0,0.0,0.0,-2.079251,43.165582,751.1,16749.4,3259.9,12112.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
