municipality_code,municipality_name,latitude,longitude,easting_m,northing_m,reference_period,source_id
20001,Abaltzisketa,43.0352835,-2.1047532,572928.535,4765121.821,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20002,Aduna,43.2134915,-2.0593393,576405.934,4784952.58,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20003,Aizarnazabal,43.2643676,-2.2328333,562261.858,4790458.734,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20004,Albiztur,43.1357269,-2.1313137,570649.319,4776253.414,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20005,Alegia,43.0977497,-2.1011751,573145.699,4772061.844,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20006,Alkiza,43.1718197,-2.1162597,571831.367,4780274.404,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20007,Altzo,43.0938644,-2.0692585,575747.855,4771658.714,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20008,Amezketa,43.0519861,-2.0690373,575817.464,4767008.297,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20009,Andoain,43.2162864,-2.0138364,580098.311,4785305.525,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20010,Anoeta,43.165582,-2.079251,574847.107,4779614.105,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20011,Antzuola,43.0964133,-2.3754891,550823.263,4771710.668,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20012,Arama,43.0593429,-2.1629113,568164.188,4767744.746,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20013,Aretxabaleta,43.010081,-2.4793842,542427.641,4762065.76,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20014,Asteasu,43.2032328,-2.120481,571451.597,4783759.309,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20015,Ataun,42.9779648,-2.1675105,567879.264,4758704.021,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20016,Aia,43.2435104,-2.1490991,569081.171,4788208.234,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20017,Azkoitia,43.1749358,-2.3291954,554520.891,4780459.802,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20018,Azpeitia,43.1653067,-2.257571,560351.795,4779439.59,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20019,Beasain,43.0747736,-2.2165435,563780.894,4769416.152,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20020,Beizama,43.1269994,-2.2028857,564837.638,4775226.352,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20021,Belauntza,43.1365707,-2.0423724,577881.795,4776425.957,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20022,Berastegi,43.1281243,-1.957862,584766.556,4775569.978,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20023,Berrobi,43.1457477,-2.0277955,579055.485,4777458.735,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20024,Bidania-Goiatz,43.1387285,-2.1669964,567743.959,4776557.285,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20025,Zegama,42.9655239,-2.3001304,557077.203,4757223.895,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20026,Zerain,43.0087032,-2.287963,558028.88,4762027.225,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20027,Zestoa,43.243611,-2.2481628,561038.469,4788142.333,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20028,Zizurkil,43.2133937,-2.0836756,574429.311,4784919.789,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20029,Deba,43.2579134,-2.3276181,554575.039,4789675.739,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20030,Eibar,43.1950117,-2.4620346,543709.79,4782611.34,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20031,Elduain,43.1563679,-1.9861256,582429.649,4778678.292,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20032,Elgoibar,43.2101646,-2.3995752,548772.568,4784328.626,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20033,Elgeta,43.1484891,-2.4801632,542268.902,4777435.615,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20034,Eskoriatza,43.0024219,-2.5499455,536681.788,4761182.0,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20035,Ezkio-Itsaso,43.0832427,-2.2705022,559379.946,4770317.039,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20036,Hondarribia,43.3617119,-1.8239952,595290.424,4801655.052,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20037,Gaintza,43.0546598,-2.1324256,570652.034,4767249.896,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20038,Gabiria,43.0514759,-2.293212,557561.115,4766773.5,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20039,Getaria,43.2923736,-2.2113986,563972.12,4793585.112,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20040,Hernani,43.2278527,-1.9243882,587347.021,4786679.526,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20041,Hernialde,43.1546428,-2.09712,573407.633,4778383.46,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20042,Ibarra,43.1425819,-2.055256,576826.462,4777081.612,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20043,Idiazabal,42.991227,-2.2253279,563151.37,4760131.691,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20044,Ikaztegieta,43.0900958,-2.1207862,571558.666,4771194.95,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20045,Irun,43.3208857,-1.7920861,597941.615,4797157.981,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20046,Irura,43.1668157,-2.0589424,576496.447,4779769.46,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20047,Itsasondo,43.0814235,-2.1811911,566651.723,4770182.11,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20048,Larraul,43.1838864,-2.1185889,571627.934,4781612.448,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20049,Lazkao,43.0236836,-2.173517,567339.551,4763776.217,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20050,Leaburu,43.1204146,-2.0559663,576796.431,4774619.247,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20051,Legazpi,43.0286869,-2.3349811,554179.457,4764214.996,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20052,Legorreta,43.0896537,-2.1490954,569255.081,4771122.093,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20053,Lezo,43.3273037,-1.8802176,590786.012,4797771.13,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20054,Lizartza,43.0949594,-2.0355092,578493.138,4771811.357,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
