service_id,service_name,service_category,service_type_original,municipality_code,municipality_name,latitude,longitude,address,reference_period,source_id
entityC5CE8164,Consultorio de Abaltzisketa,primary_care,Consultorio,20001,Abaltzisketa,43.04782714383536,-2.1054531469294,"Núcleo Abaltzisketa, 11, 20269 Abaltzisketa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity575DBFCE,Consultorio de Aizarnazabal,primary_care,Consultorio,20003,Aizarnazabal,43.25469283797177,-2.2377668948288885,"Baltasar Etxabe, 19, 20749 Aizarnazabal (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity71BB9A3F,Consultorio de Albiztur,primary_care,Consultorio,20004,Albiztur,43.12979582618247,-2.137108191302312,"Núcleo Erdigunea, 22, 20495 Albiztur (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityE8C2F026,Centro de Salud de Alegia,primary_care,Centro de Salud,20005,Alegia,43.10065185129113,-2.0985628642720497,"Bideberrieta, 17-Y, 20260 Alegia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity771AD8EE,Consultorio de Amezketa,primary_care,Consultorio,20008,Amezketa,43.04980158428751,-2.0880884073683093,"Bartolome Deuna, 27, 20268 Amezketa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity2174F0DA,Centro de Salud Mental de Andoain,mental_health,Centro de Salud Mental,20009,Andoain,43.221231365992296,-2.0221942454753545,"Rikardo Arregi, 0-B, 20140 Andoain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityA8E7BFB5,Centro de Salud de Andoain,primary_care,Centro de Salud,20009,Andoain,43.221231365992296,-2.0221942454753545,"Rikardo Arregi, 0-B, 20140 Andoain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityC40323E8,Consultorio de Anoeta,primary_care,Consultorio,20010,Anoeta,43.16153416153941,-2.0718495998802555,"Solkorre, 6, 20270 Anoeta (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityC2E572D7,Consultorio de Antzuola,primary_care,Consultorio,20011,Antzuola,43.09776417115158,-2.381919611145804,"Barrio Sagasti, 0-A, 20577 Antzuola (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity74310650,Centro de Salud de Aretxabaleta,primary_care,Centro de Salud,20013,Aretxabaleta,43.03539979726118,-2.5051540798410152,"Errekabarren, 10, 20550 Aretxabaleta (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB9C373D0,Consultorio de Asteasu,primary_care,Consultorio,20014,Asteasu,43.193716642518666,-2.097834552823683,"Mayor-Nagusia, 8, 20159 Asteasu (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity1DF833DF,Consultorio de Ataun-San Gregorio,primary_care,Consultorio,20015,Ataun,42.97863551869698,-2.180404705207041,"Barrio San Gregorio, 12, 20211 Ataun (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityABD80EAC,Consultorio de Ataun-San Martin,primary_care,Consultorio,20015,Ataun,43.00600829417225,-2.177502097607772,"Barrio Elbarrena, 15-D, 20211 Ataun (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity85CF7DBB,Consultorio de Aia,primary_care,Centro de Salud,20016,Aia,43.237544497889566,-2.1474415179798245,"Joan Etorle, 18, 20809 Aia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityE7146F42,Centro de Salud de Azkoitia,primary_care,Centro de Salud,20017,Azkoitia,43.17592886388753,-2.3150229473149824,"Barrio Jausoro, 6, 20720 Azkoitia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity0ECFC0DA,Centro de Salud Mental de Azpeitia,mental_health,Centro de Salud Mental,20018,Azpeitia,43.18143667003693,-2.267977469507896,"Jose Artetxe, 7, 20730 Azpeitia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity458B7E4D,Ambulatorio de Azpeitia,primary_care,Ambulatorio,20018,Azpeitia,43.18143667003693,-2.267977469507896,"Jose Artetxe, 7, 20730 Azpeitia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity88E353B4,Ambulatorio de Azpeitia,primary_care,Centro de Salud,20018,Azpeitia,43.18143667003693,-2.267977469507896,"Jose Artetxe, 7, 20730 Azpeitia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityF54FA5AA,Consultorio de Urrestilla,primary_care,Consultorio,20018,Azpeitia,43.15708148404615,-2.2444112630994173,"Kaletxiki, 9, 20738 Azpeitia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity466E5112,PAC DE AZPEITIA,primary_care,PAC,20018,Azpeitia,43.18143667003693,-2.267977469507896,"Jose Artetxe, 7, 20730 Azpeitia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity17DDCC5A,Centro de Salud Mental de Beasain,mental_health,Centro de Salud Mental,20019,Beasain,43.05155274355186,-2.19005597084824,"Avenida Ezkiaga, 1-A, 20200 Beasain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityBC631DA5,Ambulatorio de Beasain,primary_care,Ambulatorio,20019,Beasain,43.04527740634045,-2.1977014177917447,"Bernedo Enea, 1, 20200 Beasain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity24E39531,Ambulatorio de Beasain,primary_care,Centro de Salud,20019,Beasain,43.04527740634045,-2.1977014177917447,"Bernedo Enea, 1, 20200 Beasain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity38D83782,PAC DE BEASAIN,primary_care,PAC,20019,Beasain,43.04527740634045,-2.1977014177917447,"Bernedo Enea, 1, 20200 Beasain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity58B952FE,Consultorio de Beizama,primary_care,Consultorio,20020,Beizama,43.13414544520059,-2.200279712634888,"Núcleo Beizama, 1, 20739 Beizama (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityCE9F796C,Consultorio de Belauntza,primary_care,Consultorio,20021,Belauntza,43.13479302421061,-2.0511328791385024,"Núcleo Hiriburu, 14, 20491 Belauntza (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity421CF1DE,Consultorio de Berastegi,primary_care,Consultorio,20022,Berastegi,43.124091640455646,-1.9793039026365664,"Plaza Herriko plaza, 1, 20492 Berastegi (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB5A8FFF6,Consultorio de Berrobi,primary_care,Consultorio,20023,Berrobi,43.14564839600344,-2.0272017443670998,"Jose Maria Goikoetxea, 23, 20493 Berrobi (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity32419E1A,Consultorio de Bidania-Goiatz,primary_care,Consultorio,20024,Bidania-Goiatz,43.14008753872753,-2.1606788715978538,"Agerre-Azpi, 17, 20496 Bidania-Goiatz (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityEC2BA125,Consultorio de Zegama,primary_care,Consultorio,20025,Zegama,42.97485183209362,-2.289613393803866,"Olaran, 2, 20215 Zegama (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityD769B429,Consultorio de Zerain,primary_care,Consultorio,20026,Zerain,43.01258213502594,-2.2731912235961613,"Núcleo Zerain, 12-B, 20214 Zerain (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityC2AAF486,Centro de Salud de Zestoa,primary_care,Centro de Salud,20027,Zestoa,43.23959905551925,-2.257793830406939,"Plaza Euskal Herria, 1, 20740 Zestoa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity3D67AC7E,Centro de Salud de Deba,primary_care,Centro de Salud,20029,Deba,43.2968697914459,-2.354233337164097,"Bastinuixa, 1, 20820 Deba (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityE5A4FE1E,Consultorio de Itziar,primary_care,Consultorio,20029,Deba,43.27583408160199,-2.3302608892242724,"Plaza Zabalsoro, 3, 20829 Deba (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
