municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,primary_care_per_10000_65_plus,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,metrics_reference_period
20001,Abaltzisketa,313,63,29,20.128,9.265,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.499872660531404,0,0,0,1,158.73,1394.2,17769.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20002,Aduna,507,75,36,14.793,7.101,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,7.035348563085305,0,0,0,0,0.0,2756.2,11485.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20003,Aizarnazabal,808,154,50,19.059,6.188,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,6.540372163090826,0,0,0,1,64.935,1146.7,12436.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20004,Albiztur,314,58,34,18.471,10.828,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,12.71288207883457,0,0,0,1,172.414,809.9,15840.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20005,Alegia,1852,378,198,20.41,10.691,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,7.754163198062981,0,0,0,1,26.455,386.1,17282.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20006,Alkiza,346,59,28,17.052,8.092,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,12.01428122947962,0,0,0,0,0.0,2855.9,18011.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20007,Altzo,400,81,34,20.25,8.5,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,9.777626174479805,0,0,0,0,0.0,2477.2,19842.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20008,Amezketa,935,210,101,22.46,10.802,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,20.588517985872098,0,0,0,1,47.619,1570.5,20150.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20009,Andoain,14732,3623,1929,24.593,13.094,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,27.18634392077157,0,1,0,1,2.76,873.2,9264.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20010,Anoeta,2163,451,175,20.851,8.091,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,4.102431856462305,0,0,0,1,22.173,751.1,16749.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
